order_id,order_date,region,state,product,category,sub_category,customer_name,sales,profit
CA-2016-105816,2016-12-11,East,New York,AT&T CL83451 4-Handset Telephone,Technology,Phones,Janet Molinari,1029.95,298.6855
CA-2016-111682,2016-06-17,East,New York,Home/Office Personal File Carts,Office Supplies,Storage,Ted Butterfield,208.56,52.14
CA-2016-111682,2016-06-17,East,New York,Xerox 232,Office Supplies,Paper,Ted Butterfield,32.4,15.552
CA-2016-111682,2016-06-17,East,New York,Novimex Turbo Task Chair,Furniture,Chairs,Ted Butterfield,319.41,7.098
CA-2016-111682,2016-06-17,East,New York,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper,Ted Butterfield,14.56,6.9888
CA-2016-111682,2016-06-17,East,New York,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,Ted Butterfield,30.0,3.3
CA-2016-111682,2016-06-17,East,New York,Plastic Binding Combs,Office Supplies,Binders,Ted Butterfield,48.48,16.362
CA-2016-111682,2016-06-17,East,New York,Prang Dustless Chalk Sticks,Office Supplies,Art,Ted Butterfield,1.68,0.84
CA-2015-135545,2015-11-24,West,California,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories,Kunst Miller,13.98,6.1512
CA-2015-135545,2015-11-24,West,California,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders,Kunst Miller,25.824,9.3612
CA-2015-135545,2015-11-24,West,California,Xerox 1943,Office Supplies,Paper,Kunst Miller,146.73,68.9631
CA-2015-135545,2015-11-24,West,California,Luxo Economy Swing Arm Lamp,Furniture,Furnishings,Kunst Miller,79.76,22.3328
US-2015-164175,2015-04-30,Central,Illinois,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,Paul Stevenson,213.115,-15.2225
CA-2014-106376,2014-12-05,West,Arizona,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,Brendan Sweed,1113.024,111.3024
CA-2014-106376,2014-12-05,West,Arizona,netTALK DUO VoIP Telephone Service,Technology,Phones,Brendan Sweed,167.968,62.988
CA-2016-119823,2016-06-04,South,Virginia,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,Karen Daniels,75.88,35.6636
CA-2016-106075,2016-09-18,East,New York,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,Henry MacAllister,4.616,1.731
CA-2017-114440,2017-09-14,Central,Michigan,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper,Tracy Blumstein,19.05,8.763
US-2015-134026,2015-04-26,South,Tennessee,High-Back Leather Manager's Chair,Furniture,Chairs,Joel Eaton,831.936,-114.3912
US-2015-134026,2015-04-26,South,Tennessee,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,Joel Eaton,97.04,1.213
US-2015-134026,2015-04-26,South,Tennessee,Safco Industrial Wire Shelving System,Office Supplies,Storage,Joel Eaton,72.784,-18.196
US-2017-118038,2017-12-09,Central,Texas,Economy Binders,Office Supplies,Binders,Ken Brennan,1.248,-1.9344
US-2017-118038,2017-12-09,Central,Texas,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,Ken Brennan,9.708,-5.8248
US-2017-118038,2017-12-09,Central,Texas,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage,Ken Brennan,27.24,2.724
US-2014-147606,2014-11-26,Central,Texas,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,Joel Eaton,19.3,-14.475
CA-2016-127208,2016-06-12,South,Alabama,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,Stewart Carmichael,208.16,56.2032
CA-2016-127208,2016-06-12,South,Alabama,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,Stewart Carmichael,16.74,8.0352
CA-2014-139451,2014-10-12,West,California,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art,Duane Noonan,14.9,4.172
CA-2014-139451,2014-10-12,West,California,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage,Duane Noonan,21.39,6.2031
CA-2015-149734,2015-09-03,South,North Carolina,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,Julie Creighton,200.984,62.8075
US-2017-119662,2017-11-13,Central,Illinois,Safco Industrial Wire Shelving,Office Supplies,Storage,Christopher Schild,230.376,-48.9549
CA-2017-140088,2017-05-28,South,South Carolina,Novimex Swivel Fabric Task Chair,Furniture,Chairs,Patrick O'Donnell,301.96,33.2156
CA-2017-155558,2017-10-26,Central,Minnesota,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,Paul Gonzalez,19.99,6.7966
CA-2017-155558,2017-10-26,Central,Minnesota,Avery 511,Office Supplies,Labels,Paul Gonzalez,6.16,2.9568
CA-2016-159695,2016-04-05,Central,Texas,Eldon Portable Mobile Manager,Office Supplies,Storage,Gary Mitchum,158.368,13.8572
CA-2016-109806,2016-09-17,West,California,Turquoise Lead Holder with Pocket Clip,Office Supplies,Art,Jim Sink,20.1,6.633
CA-2016-109806,2016-09-17,West,California,Panasonic Kx-TS550,Technology,Phones,Jim Sink,73.584,8.2782
CA-2016-109806,2016-09-17,West,California,Xerox 1995,Office Supplies,Paper,Jim Sink,6.48,3.1104
CA-2015-149587,2015-01-31,Central,Minnesota,Xerox 1999,Office Supplies,Paper,Karl Braun,12.96,6.2208
CA-2015-149587,2015-01-31,Central,Minnesota,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Furnishings,Karl Braun,53.34,16.5354
CA-2015-149587,2015-01-31,Central,Minnesota,Ibico Standard Transparent Covers,Office Supplies,Binders,Karl Braun,32.96,16.1504
US-2017-109484,2017-11-06,West,Oregon,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders,Roger Barcio,5.682,-3.788
CA-2017-161018,2017-11-09,East,New York,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,Parhena Norris,96.53,40.5426
CA-2017-157833,2017-06-17,West,California,Trimflex Flexible Post Binders,Office Supplies,Binders,Katherine Ducich,51.312,17.9592
CA-2016-149223,2016-09-06,Central,Minnesota,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,Elpida Rittenbach,77.88,22.5852
CA-2016-158568,2016-08-29,Central,Illinois,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper,Rick Bensley,64.624,22.6184
CA-2016-158568,2016-08-29,Central,Illinois,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,Rick Bensley,95.976,-10.7973
CA-2016-158568,2016-08-29,Central,Illinois,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders,Rick Bensley,1.788,-3.0396
CA-2016-129903,2016-12-01,Central,Minnesota,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper,Gary Zandusky,23.92,11.7208
US-2015-156867,2015-11-13,West,Colorado,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories,Lena Cacioppo,238.896,-26.8758
US-2015-156867,2015-11-13,West,Colorado,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings,Lena Cacioppo,102.36,-3.8385
US-2015-156867,2015-11-13,West,Colorado,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders,Lena Cacioppo,36.882,-25.8174
CA-2017-119004,2017-11-23,South,North Carolina,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Accessories,Janet Martin,74.112,17.6016
CA-2017-119004,2017-11-23,South,North Carolina,Speck Products Candyshell Flip Case,Technology,Phones,Janet Martin,27.992,2.0994
CA-2017-119004,2017-11-23,South,North Carolina,Newell Chalk Holder,Office Supplies,Art,Janet Martin,3.304,1.0738
CA-2015-129476,2015-10-15,Central,Illinois,Logitech Gaming G510s - Keyboard,Technology,Accessories,Pete Armstrong,339.96,67.992
CA-2017-146780,2017-12-25,East,New York,Magnifier Swing Arm Lamp,Furniture,Furnishings,Cynthia Voltz,41.96,10.9096
CA-2016-128867,2016-11-03,Central,Iowa,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,Clay Ludtke,75.96,22.788
CA-2016-128867,2016-11-03,Central,Iowa,"Avery Durable Plastic 1"" Binders",Office Supplies,Binders,Clay Ludtke,27.24,13.3476
CA-2014-115259,2014-08-25,East,Ohio,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners,Ryan Crowe,40.096,14.5348
CA-2014-115259,2014-08-25,East,Ohio,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,Envelopes,Ryan Crowe,4.72,1.652
CA-2014-115259,2014-08-25,East,Ohio,Xerox 1921,Office Supplies,Paper,Ryan Crowe,23.976,7.4925
CA-2014-115259,2014-08-25,East,Ohio,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,Ryan Crowe,130.464,44.0316
CA-2015-110457,2015-03-02,West,Washington,Hon Racetrack Conference Tables,Furniture,Tables,Dave Kipp,787.53,165.3813
US-2015-136476,2015-04-05,South,Tennessee,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,Greg Guthrie,157.794,-115.7156
CA-2016-103730,2016-06-12,East,Delaware,Artistic Insta-Plaque,Furniture,Furnishings,Steven Cartwright,47.04,18.3456
CA-2016-103730,2016-06-12,East,Delaware,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,Steven Cartwright,30.84,13.878
CA-2016-103730,2016-06-12,East,Delaware,"Companion Letter/Legal File, Black",Office Supplies,Storage,Steven Cartwright,226.56,63.4368
CA-2016-103730,2016-06-12,East,Delaware,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes,Steven Cartwright,115.02,51.759
CA-2016-103730,2016-06-12,East,Delaware,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,Phones,Steven Cartwright,68.04,19.7316
US-2014-152030,2014-12-26,Central,Texas,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,Alan Dominguez,600.558,-8.5794
US-2014-134614,2014-09-20,Central,Illinois,Bevis 44 x 96 Conference Tables,Furniture,Tables,Philip Fox,617.7,-407.682
US-2017-107272,2017-11-05,West,Arizona,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,Troy Staebel,2.388,-1.8308
US-2017-107272,2017-11-05,West,Arizona,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage,Troy Staebel,243.992,30.499
US-2016-125969,2016-11-06,West,California,"Global Task Chair, Black",Furniture,Chairs,Lindsay Shagiari,81.424,-9.1602
US-2016-125969,2016-11-06,West,California,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,Lindsay Shagiari,238.56,26.2416
US-2017-164147,2017-02-02,East,Ohio,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones,Dorothy Wardle,59.97,-11.994
US-2017-164147,2017-02-02,East,Ohio,Xerox 1916,Office Supplies,Paper,Dorothy Wardle,78.304,29.364
US-2017-164147,2017-02-02,East,Ohio,Staples,Office Supplies,Fasteners,Dorothy Wardle,21.456,6.9732
CA-2016-145583,2016-10-13,West,California,Xerox 195,Office Supplies,Paper,Lena Creighton,20.04,9.6192
CA-2016-145583,2016-10-13,West,California,Xerox 1880,Office Supplies,Paper,Lena Creighton,35.44,16.6568
CA-2016-145583,2016-10-13,West,California,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,Art,Lena Creighton,11.52,3.456
CA-2016-145583,2016-10-13,West,California,Ideal Clamps,Office Supplies,Fasteners,Lena Creighton,4.02,1.9698
CA-2016-145583,2016-10-13,West,California,GBC Wire Binding Strips,Office Supplies,Binders,Lena Creighton,76.176,26.6616
CA-2016-145583,2016-10-13,West,California,Fiskars Softgrip Scissors,Office Supplies,Supplies,Lena Creighton,65.88,18.4464
CA-2016-145583,2016-10-13,West,California,Longer-Life Soft White Bulbs,Furniture,Furnishings,Lena Creighton,43.12,20.6976
CA-2016-110366,2016-09-05,East,Pennsylvania,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,Jonathan Doherty,82.8,10.35
CA-2017-106180,2017-09-18,West,California,Newell 343,Office Supplies,Art,Sally Hughsby,8.82,2.3814
CA-2017-106180,2017-09-18,West,California,Convenience Packs of Business Envelopes,Office Supplies,Envelopes,Sally Hughsby,10.86,5.1042
CA-2017-106180,2017-09-18,West,California,Xerox 1911,Office Supplies,Paper,Sally Hughsby,143.7,68.976
CA-2017-155376,2017-12-22,Central,Missouri,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,Sandra Glassco,839.43,218.2518
CA-2015-110744,2015-09-07,West,California,Safco Industrial Wire Shelving,Office Supplies,Storage,Helen Andreada,671.93,20.1579
CA-2014-110072,2014-10-22,East,Ohio,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,Furnishings,Maureen Gastineau,93.888,12.9096
CA-2016-114489,2016-12-05,Central,Wisconsin,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,Phones,Justin Ellison,384.45,103.8015
CA-2016-114489,2016-12-05,Central,Wisconsin,Anker Astro 15000mAh USB Portable Charger,Technology,Phones,Justin Ellison,149.97,5.9988
CA-2016-114489,2016-12-05,Central,Wisconsin,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,Justin Ellison,1951.84,585.552
CA-2016-114489,2016-12-05,Central,Wisconsin,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders,Justin Ellison,171.55,80.6285
CA-2016-158834,2016-03-13,West,Arizona,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,Appliances,Tamara Willingham,157.92,17.766
CA-2016-158834,2016-03-13,West,Arizona,Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,Phones,Tamara Willingham,203.184,15.2388
CA-2015-124919,2015-05-31,West,California,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Paper,Stephanie Phelps,58.38,26.271
CA-2015-124919,2015-05-31,West,California,Xerox 1883,Office Supplies,Paper,Stephanie Phelps,105.52,48.5392
CA-2015-124919,2015-05-31,West,California,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage,Stephanie Phelps,80.88,21.0288
CA-2015-118948,2015-05-28,West,Washington,Newell 311,Office Supplies,Art,Neil Knudson,6.63,1.7901
CA-2014-104269,2014-03-01,West,Washington,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,Dave Brooks,457.568,51.4764
CA-2016-114104,2016-11-20,Central,Oklahoma,Avery 519,Office Supplies,Labels,Nora Paige,14.62,6.8714
CA-2016-114104,2016-11-20,Central,Oklahoma,Avaya 5420 Digital phone,Technology,Phones,Nora Paige,944.93,236.2325
CA-2016-162733,2016-05-11,West,California,Xerox 1920,Office Supplies,Paper,Ted Trevino,5.98,2.691
CA-2015-119697,2015-12-28,East,Pennsylvania,Lenovo 17-Key USB Numeric Keypad,Technology,Accessories,Eric Murdock,54.384,1.3596
CA-2016-154508,2016-11-16,West,New Mexico,Staple envelope,Office Supplies,Envelopes,Ruben Dartt,28.4,13.348
CA-2016-113817,2016-11-07,West,Washington,Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,Max Jones,27.68,9.688
CA-2014-139892,2014-09-08,Central,Texas,BIC Brite Liner Highlighters,Office Supplies,Art,Becky Martin,9.936,2.7324
CA-2014-139892,2014-09-08,Central,Texas,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,Becky Martin,8159.952,-1359.992
CA-2014-139892,2014-09-08,Central,Texas,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,Becky Martin,275.928,-58.6347
CA-2014-139892,2014-09-08,Central,Texas,SAFCO Arco Folding Chair,Furniture,Chairs,Becky Martin,1740.06,-24.858
CA-2014-139892,2014-09-08,Central,Texas,Sanford Liquid Accent Highlighters,Office Supplies,Art,Becky Martin,32.064,6.8136
CA-2014-139892,2014-09-08,Central,Texas,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances,Becky Martin,177.98,-453.849
CA-2014-139892,2014-09-08,Central,Texas,JBL Micro Wireless Portable Bluetooth Speaker,Technology,Phones,Becky Martin,143.976,8.9985
CA-2014-118962,2014-08-05,West,California,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",Office Supplies,Paper,Chad Sievert,20.94,9.8418
CA-2014-118962,2014-08-05,West,California,Xerox 1913,Office Supplies,Paper,Chad Sievert,110.96,53.2608
CA-2014-118962,2014-08-05,West,California,"Global Value Steno Chair, Gray",Furniture,Chairs,Chad Sievert,340.144,21.259
US-2014-100853,2014-09-14,Central,Illinois,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,Jennifer Braxton,52.448,-131.12
US-2014-100853,2014-09-14,Central,Illinois,Avery 51,Office Supplies,Labels,Jennifer Braxton,20.16,6.552
US-2017-152366,2017-04-21,Central,Texas,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances,Shirley Jackson,97.264,-243.16
US-2015-101511,2015-11-21,East,Ohio,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,Joel Eaton,396.802,-11.3372
US-2015-101511,2015-11-21,East,Ohio,Acme Rosewood Handle Letter Opener,Office Supplies,Supplies,Joel Eaton,15.88,-3.7715
CA-2015-137225,2015-12-15,East,New York,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies,Art,Jim Kriz,3.28,1.4104
CA-2014-166191,2014-12-05,Central,Illinois,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Storage,David Kendrick,24.816,1.8612
CA-2014-166191,2014-12-05,Central,Illinois,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Accessories,David Kendrick,408.744,76.6395
CA-2014-158274,2014-11-19,South,Louisiana,AT&T TR1909W,Technology,Phones,Robert Marley,503.96,131.0296
CA-2014-158274,2014-11-19,South,Louisiana,Nokia Lumia 521 (T-Mobile),Technology,Phones,Robert Marley,149.95,41.986
CA-2014-158274,2014-11-19,South,Louisiana,HP Standard 104 key PS/2 Keyboard,Technology,Accessories,Robert Marley,29.0,7.25
CA-2016-105018,2016-11-28,East,Connecticut,Avery Poly Binder Pockets,Office Supplies,Binders,Sally Knutson,7.16,3.4368
CA-2014-123260,2014-08-26,West,California,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,Frank Merwin,176.8,22.984
CA-2016-157000,2016-07-16,Central,Texas,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,Storage,Alice McCarthy,37.224,3.7224
CA-2016-157000,2016-07-16,Central,Texas,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Paper,Alice McCarthy,20.016,6.255
CA-2015-102281,2015-10-12,East,New York,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Mark Packer,899.136,112.392
CA-2015-102281,2015-10-12,East,New York,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,Phones,Mark Packer,71.76,20.0928
